param1,param2,param3,output1,output2
0.03,0.03,0.04,9470.0,0.0
0.03,0.03,0.04,8634.0,0.0
0.03,0.03,0.04,8725.0,0.0
0.03,0.03,0.04,9703.0,0.0
0.03,0.03,0.04,9710.0,0.0
0.03,0.03,0.04,9579.0,0.0
0.03,0.03,0.04,9852.0,1.0
0.03,0.03,0.04,8717.0,0.0
0.03,0.03,0.04,9497.0,0.0
0.03,0.03,0.04,9348.0,0.0
0.03,0.03,0.04,9189.0,0.0
0.03,0.03,0.04,9748.0,0.0
0.03,0.03,0.04,9686.0,0.0
0.03,0.03,0.04,9302.0,0.0
0.03,0.03,0.04,4348.0,1605.0
0.03,0.03,0.04,6926.0,283.0
0.03,0.03,0.04,9299.0,0.0
0.03,0.03,0.04,8159.0,0.0
0.03,0.03,0.04,8782.0,0.0
0.03,0.03,0.045,9622.0,0.0
0.03,0.03,0.045,9327.0,0.0
0.03,0.03,0.045,9488.0,0.0
0.03,0.03,0.045,9800.0,0.0
0.03,0.03,0.045,10421.0,0.0
0.03,0.03,0.045,9921.0,0.0
0.03,0.03,0.045,9653.0,0.0
0.03,0.03,0.045,9283.0,0.0
0.03,0.03,0.045,9450.0,0.0
0.03,0.03,0.045,9503.0,0.0
0.03,0.03,0.045,7793.0,2.0
0.03,0.03,0.045,9550.0,0.0
0.03,0.03,0.045,9918.0,0.0
0.03,0.03,0.045,9936.0,0.0
0.03,0.03,0.045,10007.0,0.0
0.03,0.03,0.045,9677.0,0.0
0.03,0.03,0.045,9931.0,0.0
0.03,0.03,0.045,9793.0,0.0
0.03,0.03,0.045,10308.0,0.0
0.03,0.03,0.045,9615.0,0.0
0.03,0.03,0.045,8705.0,0.0
0.03,0.03,0.045,10295.0,0.0
0.03,0.03,0.045,10495.0,0.0
0.03,0.03,0.045,9868.0,0.0
0.03,0.03,0.045,9782.0,0.0
0.03,0.03,0.045,9584.0,0.0
0.03,0.03,0.045,10053.0,0.0
0.03,0.03,0.045,9696.0,0.0
0.03,0.03,0.045,9122.0,0.0
0.03,0.03,0.045,10081.0,0.0
0.03,0.03,0.05,10456.0,0.0
0.03,0.03,0.05,10030.0,0.0
0.03,0.03,0.05,9617.0,0.0
0.03,0.03,0.05,9923.0,0.0
0.03,0.03,0.05,10028.0,0.0
0.03,0.03,0.05,9991.0,0.0
0.03,0.03,0.05,10077.0,0.0
0.03,0.03,0.05,9889.0,0.0
0.03,0.03,0.05,10265.0,0.0
0.03,0.03,0.05,10314.0,0.0
0.03,0.03,0.05,9588.0,0.0
0.03,0.03,0.05,10449.0,0.0
0.03,0.03,0.05,10189.0,0.0
0.03,0.03,0.05,10044.0,0.0
0.03,0.03,0.05,10087.0,0.0
0.03,0.03,0.05,9886.0,0.0
0.03,0.03,0.05,9703.0,0.0
0.03,0.03,0.05,9548.0,0.0
0.03,0.03,0.05,10489.0,0.0
0.03,0.03,0.05,10097.0,0.0
0.03,0.03,0.05,10064.0,0.0
0.03,0.03,0.05,9997.0,0.0
0.03,0.03,0.05,10101.0,0.0
0.03,0.03,0.05,9461.0,0.0
0.03,0.03,0.05,10016.0,0.0
0.03,0.03,0.05,10075.0,0.0
0.03,0.03,0.05,10371.0,0.0
0.03,0.03,0.05,10282.0,0.0
0.03,0.03,0.05,10040.0,0.0
0.03,0.03,0.05,10220.0,0.0
0.03,0.03,0.055,10159.0,0.0
0.03,0.03,0.055,10426.0,0.0
0.03,0.03,0.055,10008.0,0.0
0.03,0.03,0.055,10365.0,0.0
0.03,0.03,0.055,10688.0,0.0
0.03,0.03,0.055,10262.0,0.0
0.03,0.03,0.055,10382.0,0.0
0.03,0.03,0.055,10092.0,0.0
0.03,0.03,0.055,10434.0,0.0
0.03,0.03,0.055,10166.0,0.0
0.03,0.03,0.055,10230.0,0.0
0.03,0.03,0.055,10368.0,0.0
0.03,0.03,0.055,9846.0,0.0
0.03,0.03,0.055,10317.0,0.0
0.03,0.03,0.055,10346.0,0.0
0.03,0.03,0.055,10378.0,0.0
0.03,0.03,0.055,9930.0,0.0
0.03,0.03,0.055,10078.0,0.0
