k1,k2,k3,k4,o1,o2,o3
0.04,0.025,0.055,0.1,8888.233333,120.0666667,55.06666667
0.04,0.025,0.055,0.3,9055.633333,49.76666667,47.66666667
0.04,0.025,0.06,0.03,9347.733333,67.4,31.5
0.04,0.025,0.06,0.1,9555,0,9.733333333
0.04,0.025,0.06,0.3,9419.866667,4,16.53333333
0.04,0.03,0.03,0.03,617,2008.633333,291.9
0.04,0.03,0.03,0.1,733.8,1653.066667,460.0666667
0.04,0.03,0.03,0.3,1017.766667,1033,707.1
0.04,0.03,0.035,0.03,1226.033333,2128.433333,360.4
0.04,0.03,0.035,0.1,1885.633333,1788.133333,510.5
0.04,0.03,0.035,0.3,2000.866667,1157.866667,804.7666667
0.04,0.03,0.04,0.03,3091.833333,1912.333333,414.8
0.04,0.03,0.04,0.1,3411.766667,1545.566667,527.4333333
0.04,0.03,0.04,0.3,3638.633333,1025.566667,746.0666667
0.04,0.03,0.045,0.03,6415.2,837.3,217.9666667
0.04,0.03,0.045,0.1,5273.133333,1081.7,418.3666667
0.04,0.03,0.045,0.3,7297.766667,333.5,243.5
0.04,0.03,0.05,0.03,7962.866667,331.0333333,111.7
0.04,0.03,0.05,0.1,8665.1,131.4333333,74.46666667
0.04,0.03,0.05,0.3,9027.566667,24.3,27.56666667
0.04,0.03,0.055,0.03,9167.766667,67.73333333,27.66666667
0.04,0.03,0.055,0.1,9575,0,7.966666667
0.04,0.03,0.055,0.3,9534.533333,0,8.133333333
0.04,0.03,0.06,0.03,9748.266667,0,8
0.04,0.03,0.06,0.1,9729.033333,0,7.766666667
0.04,0.03,0.06,0.3,9800.233333,0,7.966666667
0.04,0.035,0.03,0.03,838.5666667,2048.833333,327.0666667
0.04,0.035,0.03,0.1,1103.266667,1733.333333,524.2
0.04,0.035,0.03,0.3,1565.5,918,743.7333333
0.04,0.035,0.035,0.03,2151.133333,2077.666667,405.3
0.04,0.035,0.035,0.1,1592.666667,1787.766667,610.4666667
0.04,0.035,0.035,0.3,3009.966667,1028.266667,843.0666667
0.04,0.035,0.04,0.03,4578.9,1437.566667,349.4
0.04,0.035,0.04,0.1,4659.033333,1190.1,456
0.04,0.035,0.04,0.3,5359.2,543.0333333,511.7
0.04,0.035,0.045,0.03,7229.3,646.3333333,176.1333333
