k1,k2,o1
0.07128,0.1,1007.8
0.07128,0.12,985.2
0.07128,0.14,977.2
0.07128,0.16,1002.6
0.07128,0.18,979.4
0.00594,0.62,935.2
0.07128,0.2,1009.4
0.07128,0.22,988.0
0.07128,0.24,987.2
0.07128,0.26,990.6
0.07128,0.28,980.0
0.07128,0.3,992.2
0.07128,0.32,1002.4
0.07128,0.34,1000.2
0.07128,0.36,1004.4
0.07128,0.38,981.8
0.00594,0.64,929.2
0.07128,0.4,980.0
0.07128,0.42,980.6
0.07128,0.44,986.0
0.07128,0.46,987.0
0.07128,0.48,988.2
0.07128,0.5,992.0
0.07128,0.52,980.0
0.07128,0.54,996.2
0.07128,0.56,989.2
0.07128,0.58,980.2
0.00594,0.66,932.6
0.07128,0.6,991.0
0.07128,0.62,980.0
0.07128,0.64,994.0
0.07128,0.66,987.6
0.07128,0.68,988.8
0.07128,0.7000000000000001,991.6
0.07128,0.72,1008.0
0.07128,0.74,989.6
0.07128,0.76,981.8
0.07128,0.78,993.6
0.00594,0.68,928.2
0.07128,0.8,980.4
0.07128,0.8200000000000001,979.0
0.07128,0.84,1000.6
0.07128,0.86,1011.8
0.07128,0.88,978.2
0.07128,0.9,989.4
0.07128,0.92,977.2
0.07128,0.9400000000000001,986.4
0.07128,0.96,978.0
0.07128,0.98,980.4
0.00594,0.7000000000000001,937.8
0.07326,0.0,999.0
0.07326,0.02,992.0
0.07326,0.04,1005.6
0.07326,0.06,1002.0
0.07326,0.08,990.0
0.07326,0.1,984.0
0.07326,0.12,969.2
0.07326,0.14,994.0
0.07326,0.16,1006.6
0.07326,0.18,1000.4
0.00594,0.72,946.8
0.07326,0.2,988.2
0.07326,0.22,988.0
0.07326,0.24,995.2
0.07326,0.26,979.0
0.07326,0.28,992.8
0.07326,0.3,986.6
0.07326,0.32,999.4
0.07326,0.34,982.4
0.07326,0.36,993.8
0.07326,0.38,996.0
0.00594,0.74,927.8
0.07326,0.4,993.6
0.07326,0.42,993.4
0.07326,0.44,1003.0
0.07326,0.46,994.6
0.07326,0.48,984.4
0.07326,0.5,993.0
0.07326,0.52,972.8
0.07326,0.54,1004.0
0.07326,0.56,988.2
0.07326,0.58,982.4
0.00594,0.76,942.0
0.07326,0.6,995.2
0.07326,0.62,992.8
0.07326,0.64,989.2
0.07326,0.66,968.4
0.07326,0.68,980.4
0.07326,0.7000000000000001,999.0
0.07326,0.72,978.2
0.07326,0.74,999.4
0.07326,0.76,1017.8
0.07326,0.78,1005.2
0.00594,0.78,922.4
0.07326,0.8,994.6
0.07326,0.8200000000000001,997.0
0.07326,0.84,976.8
0.07326,0.86,1006.0
0.07326,0.88,985.2
0.07326,0.9,978.6
0.07326,0.92,993.6
0.07326,0.9400000000000001,993.0
0.07326,0.96,977.6
0.07326,0.98,977.8
0.0,0.38,0.0
0.00594,0.8,930.6
0.07524,0.0,998.2
0.07524,0.02,982.2
0.07524,0.04,989.4
0.07524,0.06,990.6
0.07524,0.08,982.6
0.07524,0.1,1006.4
0.07524,0.12,996.2
0.07524,0.14,998.0
0.07524,0.16,977.6
0.07524,0.18,986.6
0.00594,0.8200000000000001,948.2
0.07524,0.2,1004.0
0.07524,0.22,990.8
0.07524,0.24,991.2
0.07524,0.26,974.0
0.07524,0.28,985.6
0.07524,0.3,983.6
0.07524,0.32,979.4
0.07524,0.34,988.8
0.07524,0.36,999.8
0.07524,0.38,990.2
0.00594,0.84,938.6
0.07524,0.4,991.8
0.07524,0.42,986.8
