kt,k1,k2,k3,k4,k5,o1,o2,o3,o4,o5,o6,o7,o8,o9
0.5,0.459211,0.197894,0.185128,0.483591,0.71374,8.81,8.0922,9.9342,64.1127,73.5324,173.201,28.1499,50.9651,61.7242
0.5,0.0862465,0.546856,0.815265,0.198117,0.364541,6.8562,8.0552,11.925,37.9327,70.6755,286.305,28.6787,35.1106,35.0163
0.5,0.549069,0.717355,0.0466856,0.780837,0.546005,12.3846,6.707,7.7448,111.638,53.4678,112.681,45.0939,70.474,41.8008
0.5,0.746854,0.728979,0.0610807,0.219465,0.695754,9.8788,7.2708,9.6868,74.1045,59.6398,172.966,33.3225,42.8594,66.725
0.5,0.778693,0.876194,0.778981,0.687114,0.282219,10.071,9.9468,6.8186,75.2554,87.8755,96.3022,60.8405,51.0683,54.6367
0.5,0.841959,0.750464,0.22147,0.591664,0.140848,11.1208,9.334,6.3816,89.1816,91.1559,91.8347,58.1245,49.2558,52.7957
0.5,0.464353,0.95445,0.73691,0.414506,0.538465,9.3136,7.9368,9.586,62.4866,59.0278,168.277,42.6626,54.4801,54.2239
0.5,0.287496,0.460468,0.496469,0.867886,0.230216,10.1728,9.0698,7.5938,78.9355,86.6891,127.211,44.4962,65.6059,39.7423
0.5,0.630408,0.714073,0.65712,0.523858,0.861118,9.2026,8.102,9.5318,62.0692,59.0914,148.51,41.9249,56.8354,62.6665
0.5,0.134684,0.90968,0.375852,0.515414,0.766602,10.4336,5.4228,10.98,78.3669,34.6302,211.007,30.0131,71.8044,32.4427
0.5,0.927072,0.527939,0.327267,0.100442,0.65525,7.8686,9.386,9.5818,50.9243,90.1346,161.379,32.2016,27.1505,85.6912
0.5,0.495774,0.560103,0.633909,0.756347,0.295906,9.6562,9.638,7.5422,71.3931,87.8409,115.523,51.0356,57.5255,50.3223
0.5,0.394701,0.0179415,0.287114,0.350845,0.00957456,6.9328,11.4974,8.4062,48.4624,149.48,172.068,22.4875,33.4314,55.3378
0.5,0.174999,0.0761048,0.90007,0.82458,0.336026,7.4598,10.6716,8.705,51.1066,109.624,151.224,32.1376,59.0855,49.0617
0.5,0.109128,0.54681,0.905548,0.935218,0.938363,9.68,7.1502,10.0062,75.5935,49.1367,152.911,36.8214,80.2446,40.3755
0.5,0.552452,0.70776,0.945385,0.989453,0.784595,10.002,8.8788,7.9556,74.823,69.1247,102.824,53.2687,64.7324,54.875
0.5,0.12421,0.797061,0.856634,0.140618,0.737716,7.0562,6.5838,13.1964,40.9644,44.7275,304.619,26.5475,32.3898,42.1692
0.5,0.341381,0.0672561,0.763698,0.293706,0.660561,5.812,9.6242,11.4002,33.4734,87.5453,216.14,21.8831,35.5744,70.2252
0.5,0.252852,0.405969,0.0150553,0.286145,0.674959,9.1744,6.2622,11.3998,67.6859,53.5706,238.307,21.6228,47.7064,47.151
0.5,0.219485,0.510485,0.823423,0.261603,0.912138,6.9554,7.2042,12.6768,38.6619,50.9479,263.573,25.4328,41.6115,52.6263
0.5,0.812214,0.23972,0.137012,0.528102,0.218906,9.1284,10.6858,7.0222,68.1515,124.271,105.58,41.3514,40.5827,65.3266
0.5,0.40827,0.184954,0.804704,0.253902,0.695432,5.9476,9.4574,11.4314,33.1079,81.7169,219.875,24.1284,32.3947,72.3892
0.5,0.149365,0.83654,0.37777,0.3984,0.189376,9.9232,7.0394,9.8738,71.9433,56.614,218.736,37.6187,55.7203,29.2766
0.5,0.364113,0.492436,0.397541,0.372772,0.0153833,8.7434,9.6284,8.4646,58.5017,99.2438,176.844,40.2043,42.8232,45.94
0.5,0.440751,0.72552,0.047056,0.676927,0.407312,11.9606,6.7384,8.1374,102.504,57.2598,130.635,41.9071,68.1412,41.0139
